id,lat,lon,locality,month,year,sex,mat,ml,wgt,analysis_date,fullness,full_wgt,empty_wgt,content_wgt
070315_040,,,Sta. Rosalia,,2015,F,5,20.7,,7/6/17,2,1.48,1.25,0.23
070315_041,,,Sta. Rosalia,,2015,M,5,21.1,,6/29/17,1,1.3,1.21,0.09
17E48_001,27.54,-111.714,,7,2017,F,4,22.1,0.22249,12/29/17,3,1.68,1.02,0.66
17E48_002,27.54,-111.714,,7,2017,F,5,21,0.19836,12/29/17,1,1.15,0.91,0.24
17E48_003,27.54,-111.714,,7,2017,M,5,24.8,0.31235,1/2/18,1,2.58,2.41,0.17
17E48_004,27.54,-111.714,,7,2017,F,4,21.4,0.20343,12/30/17,0,1.52,1.17,0.35
17E48_005,27.54,-111.714,,7,2017,F,3,16.2,0.10125,12/30/17,2,1,0.78,0.22
17E48_006,27.54,-111.714,,7,2017,F,4,22.1,0.21888,12/31/17,2,1.21,0.92,0.29
17E48_007,27.54,-111.714,,7,2017,F,4,17.2,0.1204,12/29/17,1,0.85,0.82,0.03
17E48_008,27.54,-111.714,,7,2017,M,5,24.1,0.26783,12/30/17,0,1.52,1.17,0.35
17E48_009,27.54,-111.714,,7,2017,F,5,20.7,0.21836,12/29/17,1,1.51,1.32,0.19
17E48_010,27.54,-111.714,,7,2017,F,5,22,0.21514,12/29/17,1,1.8,1.59,0.21
17E48_011,27.54,-111.714,,7,2017,F,5,23.8,0.28891,12/31/17,3,4.07,2.34,1.73
17E48_012,27.54,-111.714,,7,2017,F,5,23,0.25443,12/30/17,3,2.27,1.48,0.79
17E48_013,27.54,-111.714,,7,2017,F,4,20.6,0.18032,12/31/17,3,1.35,0.93,0.42
17E98_001,27.108,-110.557,,7,2017,F,5,22.5,0.29197,12/31/17,4,4.47,1.81,2.66
17E98_002,27.108,-110.557,,7,2017,F,5,26.4,0.40435,1/2/18,3,5.75,3.46,2.29
17E98_003,27.108,-110.557,,7,2017,F,5,24.1,0.32387,1/2/18,3,3.75,2.12,1.63
17E98_004,27.108,-110.557,,7,2017,F,5,22.7,0.27023,12/28/17,3,2.76,1.67,1.09
17E98_005,27.108,-110.557,,7,2017,F,5,23.2,0.26845,12/28/17,3,3.44,2.2,1.24
17E98_006,27.108,-110.557,,7,2017,F,5,24.1,0.2324,12/30/17,4,7.33,3.11,4.22
17E98_007,27.108,-110.557,,7,2017,F,5,21.8,0.25104,12/30/17,4,5,1.42,3.58
17E98_008,27.108,-110.557,,7,2017,M,5,20.1,0.17901,12/30/17,2,1.94,1.46,0.48
17E98_009,27.108,-110.557,,7,2017,F,5,23.1,0.27236,12/28/17,2,2.79,2.15,0.64
17E98_010,27.108,-110.557,,7,2017,F,5,23.7,0.30439,12/28/17,4,5.91,2.56,3.35
17E98_011,27.108,-110.557,,7,2017,F,4,24.2,0.30032,12/28/17,3,3.31,1.93,1.38
17E98_012,27.108,-110.557,,7,2017,F,5,23.5,0.32943,12/28/17,3,4.98,2.77,2.21
17E98_013,27.108,-110.557,,7,2017,F,5,21.6,0.25326,12/29/17,3,3.36,1.33,2.03
17E98_014,27.108,-110.557,,7,2017,F,5,24.5,0.33185,12/29/17,4,4.22,2.17,2.05
17E98_015,27.108,-110.557,,7,2017,F,5,23.2,0.2815,12/29/17,4,5.57,2.51,3.06
17E98_016,27.108,-110.557,,7,2017,F,5,22.7,0.26974,1/2/18,4,7.53,2.62,4.91
17E98_017,27.108,-110.557,,7,2017,F,5,23,0.31634,12/29/17,2,2.54,2.02,0.52
17E98_018,27.108,-110.557,,7,2017,F,5,24.1,0.33309,12/31/17,3,4.76,2.85,1.91
17E98_019,27.108,-110.557,,7,2017,F,5,25.3,0.37627,12/31/17,4,7.23,2.74,4.49
17E98_020,27.108,-110.557,,7,2017,M,5,24.6,0.30695,1/2/18,4,4.51,2.69,1.82
17E98_021,27.108,-110.557,,7,2017,F,5,21.6,0.25211,1/2/18,4,3.87,2,1.87
CAPEXI_001,26.75187,110.2269,,,2016,F,5,21.5,0.2236523,7/12/17,1,1.02,0.92,0.1
CAPEXI_002,26.75187,110.2269,,,2016,F,5,18.7,0.1287188,7/12/17,1,0.77,0.68,0.09
CAPEXI_003,26.75187,110.2269,,,2016,F,5,19,0.1337153,7/12/17,3,1.11,0.84,0.27
CAPEXI_004,26.75187,110.2269,,,2016,F,4,19.2,0.1437083,7/12/17,1,0.72,0.72,0
CAPEXI_005,26.75187,110.2269,,,2016,F,5,19.5,0.1636943,7/12/17,0,0.84,0.81,0.03
CAPEXI_006,26.75187,110.2269,,,2016,F,4,19,0.1586978,7/12/17,1,0.73,0.69,0.04
CAPEXI_007,26.75187,110.2269,,,2016,F,4,18,0.1287188,7/12/17,1,1.07,0.93,0.14
CAPEXI_008,26.75187,110.2269,,,2016,F,5,19.3,0.1437083,7/12/17,1,0.94,0.86,0.08
CAPEXI_009,26.75187,110.2269,,,2016,F,5,18.9,0.1437083,7/12/17,2,1.18,1.09,0.09
CAPEXI_010,26.75187,110.2269,,,2016,F,5,19,0.1437083,7/12/17,1,0.9,0.76,0.14
CAPEXI_011,26.75187,110.2269,,,2016,M,5,16.7,0.0887468,7/12/17,2,0.64,0.57,0.07
CAPEXI_012,26.75187,110.2269,,,2016,F,5,19.6,0.1636943,7/12/17,1,1.06,1.04,0.02
CAPEXI_013,26.75187,110.2269,,,2016,F,5,21.5,0.2036663,7/12/17,1,1.41,1.3,0.11
CAPEXI_014,26.75187,110.2269,,,2016,F,5,21.3,0.2186558,7/12/17,1,1.53,1.51,0.02
CAPEXI_015,26.75187,110.2269,,,2016,F,5,19.7,0.1636943,7/12/17,3,1.36,1.06,0.3
CAPEXI_016,26.75187,110.2269,,,2016,F,5,19.5,0.1636943,7/11/17,4,1.68,1.2,0.48
CAPEXI_017,26.75187,110.2269,,,2016,F,5,20.5,0.1936733,7/11/17,4,3.82,1.29,2.53
CAPEXI_018,26.75187,110.2269,,,2016,F,5,19.4,0.1586978,7/12/17,2,0.82,0.71,0.11
CAPEXI_019,26.75187,110.2269,,,2016,F,5,19,0.1537013,7/12/17,2,1.09,0.96,0.13
CAPEXI_024,26.75187,110.2269,,,2016,F,5,19,0.1487048,7/12/17,4,1.57,1.15,0.42
CAPEXI_025,26.75187,110.2269,,,2016,F,5,19.6,0.1736873,7/6/17,3,1.61,1.31,0.3
CAPEXI_026,26.75187,110.2269,,,2016,M,5,16.8,0.0987398,7/12/17,3,0.73,0.56,0.17
CAPEXI_027,26.75187,110.2269,,,2016,M,5,15.6,0.0737573,7/12/17,1,0.9,0.76,0.14
CAPEXI_032,26.35032,111.271983,,,2016,F,2,16,0.0637643,7/13/17,3,1.03,0.79,0.24
CAPEXI_033,26.35032,111.271983,,,2016,F,2,14.5,0.0337853,7/13/17,1,0.61,0.59,0.02
CAPEXI_034,26.35032,111.271983,,,2016,F,2,14.5,0.0387818,7/13/17,3,0.95,0.65,0.3
CAPEXI_035,26.35032,111.271983,,,2016,F,2,14.5,0.0537713,7/13/17,1,0.42,0.4,0.02
CAPEXI_036,26.642933,111.3362167,,,2016,F,5,18.8,0.1487048,7/12/17,1,1.23,1.09,0.14
CAPEXI_037,26.642933,111.3362167,,,2016,F,3,16,0.0737573,7/12/17,1,1.35,1.15,0.2
CAPEXI_038,26.642933,111.3362167,,,2016,F,2,14.6,0.0437783,7/12/17,2,0.94,0.64,0.3
CAPEXI_039,26.642933,111.3362167,,,2016,F,3,15.5,0.0537713,7/12/17,2,1.12,0.85,0.27
CAPEXI_040,27.636833,112.3361,,,2016,F,5,18.9,0.1387118,7/13/17,2,1.16,1.06,0.1
CAPEXI_041,27.636833,112.3361,,,2016,M,5,14.8,0.0587678,7/13/17,0,0.19,0.19,0
CAPEXI_042,27.636833,112.3361,,,2016,F,5,19.6,0.1636943,7/13/17,3,0.74,0.6,0.14
CAPEXI_043,27.636833,112.3361,,,2016,F,5,18.6,0.1237223,7/13/17,4,2.46,1.55,0.91
CAPEXI_044,27.636833,112.3361,,,2016,F,5,22.5,0.2536313,7/13/17,3,2.34,1.63,0.71
CAPEXI_045,27.636833,112.3361,,,2016,F,5,17.1,0.1137293,7/13/17,2,1.25,0.79,0.46
CAPEXI_046,27.636833,112.3361,,,2016,F,4,16,0.0837503,7/11/17,3,1.46,0.86,0.6
CAPEXI_047,27.636833,112.3361,,,2016,F,5,19.1,0.1487048,7/11/17,4,3.19,1.54,1.65
CAPEXI_048,27.636833,112.3361,,,2016,F,5,17.9,0.1337153,7/13/17,3,0.84,0.78,0.06
CAPEXI_049,27.938033,112.579667,,,2016,F,1,11.1,0.0187958,7/13/17,3,0.92,0.64,0.28
CAPEXI_050,28.7845333,112.7831833,,,2016,F,2,15.3,0.0637643,7/13/17,2,0.67,0.57,0.1
CAPEXI_051,28.7845333,112.7831833,,,2016,F,2,13.5,0.0537713,7/13/17,3,0.79,0.45,0.34
CAPEXI_052,28.895333,112.876433,,,2016,M,2,11.9,0.0287888,7/13/17,1,0.25,0.22,0.03
CAPEXI_053,28.585333,112.6575,,,2016,F,4,17.1,0.0987398,7/13/17,1,0.74,0.63,0.11
CAPEXI_054,28.585333,112.6575,,,2016,F,4,15.8,0.0737573,7/13/17,1,1.07,1.03,0.04
CAPEXI_055,28.585333,112.6575,,,2016,F,5,19.4,0.1337153,7/13/17,0,0.76,0.76,0
CAPEXI_056,28.585333,112.6575,,,2016,F,5,16.8,0.0937433,7/13/17,1,0.66,0.62,0.04
CAPEXI_057,28.585333,112.6575,,,2016,F,5,17.1,0.1087328,7/13/17,3,1.31,0.88,0.43
