Ref,Monthly #,Date,Locality,ML,Weight,SEX,Mat Stage,prey,rostral ,Otolith length1,Otolith length2,Otolith length3,Otolith length4,Otolith length5,Otolith length6,Otolith length7,Otolith length8,Otolith length9,Otolith length10,Otolith length11,Otolith length12,Otolith length13,Otolith length14,Otolith length15,Otolith length16,Otolith length17,Otolith length18,Otolith length19,Otolith length20,Otolith length21,Otolith length22,Otolith length23,Otolith length24,Otolith length25,Otolith length26,Otolith length27,Otolith length28,Otolith length29,Otolith length30,Otolith length31,Otolith length32,Otolith length33,Otolith length34,Otolith length35,Otolith length36
901,1,11/11/96,Guaymas,54.2,4.35,M,V,Benthosema,,1.7,1.8,1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,5,11/11/96,Guaymas,41.9,2.95,M,V,Benthosema,,1.8,2,2,2,2.1,2.1,1.9,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,8,11/11/96,Guaymas,51.4,3.675,H,II,Benthosema,,1.9,2,2.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,3,11/12/96,Guaymas,59.9,5.325,M,V,Benthosema,,2,2,1.8,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,4,11/12/96,Guaymas,57.4,5.175,M,V,Benthosema,,1.9,1.9,2,2.2,2,1.8,2.2,1.9,2,2.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,12,11/12/96,Guaymas,52.2,3.9,H,II,Benthosema,,2.1,2,1.7,2.1,2,1.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,2,11/13/96,Guaymas,50.9,3.65,H,II,Benthosema,,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,9,1/19/97,Guaymas,52,3.475,M,V,Benthosema,,1.7,1.8,1.8,2.1,2.1,2.1,2.1,2.1,1.8,1.9,2,2,2,2.1,2.2,1.7,1.8,2.2,2.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,10,1/19/97,Guaymas,58.2,5.325,M,V,Benthosema,,1.9,1.9,1.9,2,2,2,2,2.1,2.2,1.8,1.8,2,2.1,2.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,12,1/19/97,Guaymas,52.2,3.95,H,II,Benthosema,,1.9,1.9,2,2,2.2,1.8,1.9,1.5,2.1,1.7,1.7,1.8,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
