V1,V2,V3
-111.775,27.375,-1622
-111.758333333333,27.375,-1612
-112.491666666667,27.3583333333333,661
-112.475,27.3583333333333,495
-112.458333333333,27.3583333333333,452
-112.441666666667,27.3583333333333,382
-112.425,27.3583333333333,345
-112.408333333333,27.3583333333333,336
-112.391666666667,27.3583333333333,407
-112.375,27.3583333333333,295
-112.358333333333,27.3583333333333,218
-112.341666666667,27.3583333333333,165
-112.325,27.3583333333333,159
-112.308333333333,27.3583333333333,156
-112.291666666667,27.3583333333333,64
-112.275,27.3583333333333,-9
-112.258333333333,27.3583333333333,-62
-112.241666666667,27.3583333333333,-88
-112.225,27.3583333333333,-98
-112.208333333333,27.3583333333333,-151
-112.191666666667,27.3583333333333,-215
-112.175,27.3583333333333,-324
-112.158333333333,27.3583333333333,-441
-112.141666666667,27.3583333333333,-560
-112.125,27.3583333333333,-688
-112.108333333333,27.3583333333333,-836
-112.091666666667,27.3583333333333,-982
-112.075,27.3583333333333,-1144
-112.058333333333,27.3583333333333,-1251
-112.041666666667,27.3583333333333,-1226
-112.025,27.3583333333333,-1331
-112.008333333333,27.3583333333333,-1289
-111.991666666667,27.3583333333333,-1353
-111.975,27.3583333333333,-1362
-111.958333333333,27.3583333333333,-1420
-111.941666666667,27.3583333333333,-1454
-111.925,27.3583333333333,-1487
-111.908333333333,27.3583333333333,-1540
-111.891666666667,27.3583333333333,-1595
-111.875,27.3583333333333,-1639
-111.858333333333,27.3583333333333,-1684
-111.841666666667,27.3583333333333,-1689
-111.825,27.3583333333333,-1716
-111.808333333333,27.3583333333333,-1700
-111.791666666667,27.3583333333333,-1693
-111.775,27.3583333333333,-1667
-111.758333333333,27.3583333333333,-1646
-112.491666666667,27.3416666666667,698
-112.475,27.3416666666667,727
-112.458333333333,27.3416666666667,493
-112.441666666667,27.3416666666667,404
-112.425,27.3416666666667,355
-112.408333333333,27.3416666666667,407
-112.391666666667,27.3416666666667,428
-112.375,27.3416666666667,312
-112.358333333333,27.3416666666667,224
-112.341666666667,27.3416666666667,219
-112.325,27.3416666666667,220
-112.308333333333,27.3416666666667,138
-112.291666666667,27.3416666666667,116
-112.275,27.3416666666667,61
-112.258333333333,27.3416666666667,-13
-112.241666666667,27.3416666666667,-41
-112.225,27.3416666666667,-48
-112.208333333333,27.3416666666667,-70
-112.191666666667,27.3416666666667,-114
-112.175,27.3416666666667,-183
-112.158333333333,27.3416666666667,-264
-112.141666666667,27.3416666666667,-354
-112.125,27.3416666666667,-457
-112.108333333333,27.3416666666667,-585
-112.091666666667,27.3416666666667,-746
-112.075,27.3416666666667,-947
-112.058333333333,27.3416666666667,-1122
-112.041666666667,27.3416666666667,-1214
-112.025,27.3416666666667,-1289
-112.008333333333,27.3416666666667,-1314
-111.991666666667,27.3416666666667,-1350
-111.975,27.3416666666667,-1386
-111.958333333333,27.3416666666667,-1432
-111.941666666667,27.3416666666667,-1475
-111.925,27.3416666666667,-1506
-111.908333333333,27.3416666666667,-1537
-111.891666666667,27.3416666666667,-1593
-111.875,27.3416666666667,-1628
-111.858333333333,27.3416666666667,-1649
-111.841666666667,27.3416666666667,-1665
-111.825,27.3416666666667,-1672
-111.808333333333,27.3416666666667,-1673
-111.791666666667,27.3416666666667,-1666
-111.775,27.3416666666667,-1656
-111.758333333333,27.3416666666667,-1645
-112.491666666667,27.325,768
-112.475,27.325,649
-112.458333333333,27.325,523
-112.441666666667,27.325,448
-112.425,27.325,448
-112.408333333333,27.325,402
-112.391666666667,27.325,360
-112.375,27.325,350
-112.358333333333,27.325,297
-112.341666666667,27.325,241
-112.325,27.325,195
-112.308333333333,27.325,215
-112.291666666667,27.325,174
-112.275,27.325,126
-112.258333333333,27.325,45
-112.241666666667,27.325,-9
-112.225,27.325,-18
-112.208333333333,27.325,-28
-112.191666666667,27.325,-50
-112.175,27.325,-84
-112.158333333333,27.325,-126
-112.141666666667,27.325,-184
-112.125,27.325,-246
-112.108333333333,27.325,-331
-112.091666666667,27.325,-463
-112.075,27.325,-696
-112.058333333333,27.325,-951
-112.041666666667,27.325,-1102
-112.025,27.325,-1209
-112.008333333333,27.325,-1268
-111.991666666667,27.325,-1310
-111.975,27.325,-1367
-111.958333333333,27.325,-1415
-111.941666666667,27.325,-1463
-111.925,27.325,-1491
-111.908333333333,27.325,-1486
-111.891666666667,27.325,-1564
-111.875,27.325,-1577
-111.858333333333,27.325,-1569
-111.841666666667,27.325,-1587
-111.825,27.325,-1582
-111.808333333333,27.325,-1605
-111.791666666667,27.325,-1610
-111.775,27.325,-1623
-111.758333333333,27.325,-1626
-112.491666666667,27.3083333333333,762
-112.475,27.3083333333333,742
-112.458333333333,27.3083333333333,532
-112.441666666667,27.3083333333333,477
-112.425,27.3083333333333,486
-112.408333333333,27.3083333333333,437
-112.391666666667,27.3083333333333,319
-112.375,27.3083333333333,255
-112.358333333333,27.3083333333333,234
-112.341666666667,27.3083333333333,208
-112.325,27.3083333333333,223
-112.308333333333,27.3083333333333,208
-112.291666666667,27.3083333333333,222
-112.275,27.3083333333333,162
-112.258333333333,27.3083333333333,62
-112.241666666667,27.3083333333333,53
-112.225,27.3083333333333,7
-112.208333333333,27.3083333333333,-12
-112.191666666667,27.3083333333333,-15
-112.175,27.3083333333333,-28
-112.158333333333,27.3083333333333,-50
-112.141666666667,27.3083333333333,-76
-112.125,27.3083333333333,-101
-112.108333333333,27.3083333333333,-134
-112.091666666667,27.3083333333333,-218
-112.075,27.3083333333333,-417
-112.058333333333,27.3083333333333,-663
-112.041666666667,27.3083333333333,-884
-112.025,27.3083333333333,-1052
-112.008333333333,27.3083333333333,-1152
-111.991666666667,27.3083333333333,-1222
-111.975,27.3083333333333,-1297
-111.958333333333,27.3083333333333,-1383
-111.941666666667,27.3083333333333,-1399
-111.925,27.3083333333333,-1423
-111.908333333333,27.3083333333333,-1457
-111.891666666667,27.3083333333333,-1486
-111.875,27.3083333333333,-1511
-111.858333333333,27.3083333333333,-1545
-111.841666666667,27.3083333333333,-1539
-111.825,27.3083333333333,-1542
-111.808333333333,27.3083333333333,-1566
-111.791666666667,27.3083333333333,-1589
-111.775,27.3083333333333,-1606
-111.758333333333,27.3083333333333,-1611
