species,id,analysis_date,fullness,full_weight_g,empty_weight_g,content_weight
Dosidicus gigas,CAPEXI_018,7/12/17,2,0.82,0.71,0.11
Dosidicus gigas,CAPEXI_019,7/12/17,2,1.09,0.96,0.13
Dosidicus gigas,CAPEXI_024,7/12/17,4,1.57,1.15,0.42
Dosidicus gigas,CAPEXI_025,7/6/17,3,1.61,1.31,0.3
Dosidicus gigas,CAPEXI_026,7/12/17,3,0.73,0.56,0.17
Dosidicus gigas,CAPEXI_027,7/12/17,1,0.9,0.76,0.14
Dosidicus gigas,CAPEXI_032,7/13/17,3,1.03,0.79,0.24
Dosidicus gigas,CAPEXI_033,7/13/17,1,0.61,0.59,0.02
Dosidicus gigas,CAPEXI_034,7/13/17,3,0.95,0.65,0.3
Dosidicus gigas,CAPEXI_035,7/13/17,1,0.42,0.4,0.02
Dosidicus gigas,CAPEXI_036,7/12/17,1,1.23,1.09,0.14
Dosidicus gigas,CAPEXI_037,7/12/17,1,1.35,1.15,0.2
Dosidicus gigas,CAPEXI_038,7/12/17,2,0.94,0.64,0.3
Dosidicus gigas,CAPEXI_039,7/12/17,2,1.12,0.85,0.27
Dosidicus gigas,CAPEXI_040,7/13/17,2,1.16,1.06,0.1
Dosidicus gigas,CAPEXI_041,7/13/17,0,0.19,0.19,0
Dosidicus gigas,CAPEXI_042,7/13/17,3,0.74,0.6,0.14
Dosidicus gigas,CAPEXI_043,7/13/17,4,2.46,1.55,0.91
Dosidicus gigas,CAPEXI_044,7/13/17,3,2.34,1.63,0.71
Dosidicus gigas,CAPEXI_045,7/13/17,2,1.25,0.79,0.46
Dosidicus gigas,CAPEXI_046,7/11/17,3,1.46,0.86,0.6
Dosidicus gigas,CAPEXI_047,7/11/17,4,3.19,1.54,1.65
Dosidicus gigas,CAPEXI_048,7/13/17,3,0.84,0.78,0.06
Dosidicus gigas,CAPEXI_049,7/13/17,3,0.92,0.64,0.28
Dosidicus gigas,CAPEXI_050,7/13/17,2,0.67,0.57,0.1
Dosidicus gigas,CAPEXI_051,7/13/17,3,0.79,0.45,0.34
Dosidicus gigas,CAPEXI_052,7/13/17,1,0.25,0.22,0.03
Dosidicus gigas,CAPEXI_053,7/13/17,1,0.74,0.63,0.11
Dosidicus gigas,CAPEXI_054,7/13/17,1,1.07,1.03,0.04
Dosidicus gigas,CAPEXI_055,7/13/17,0,0.76,0.76,0
Dosidicus gigas,CAPEXI_056,7/13/17,1,0.66,0.62,0.04
Dosidicus gigas,CAPEXI_057,7/13/17,3,1.31,0.88,0.43
Dosidicus gigas,CAPEXI_058,7/13/17,3,1.57,0.65,0.92
Dosidicus gigas,CAPEXI_059,7/13/17,3,1,0.86,0.14
Dosidicus gigas,CAPEXI_060,7/13/17,2,1.09,0.89,0.2
Dosidicus gigas,CAPEXI_061,7/13/17,3,1.69,0.92,0.77
Dosidicus gigas,CAPEXI_062,7/13/17,1,1.07,1.02,0.05
Dosidicus gigas,CAPEXI_063,7/13/17,1,0.65,0.62,0.03
Dosidicus gigas,CAPEXI_064,7/13/17,2,1.22,0.81,0.41
Dosidicus gigas,CAPEXI_065,7/13/17,2,0.9,0.58,0.32
Dosidicus gigas,CAPEXI_066,7/13/17,1,0.7,0.58,0.12
Dosidicus gigas,CAPEXI_067,7/13/17,2,0.62,0.58,0.4
Dosidicus gigas,CAPEXI_068,7/13/17,1,0.36,0.36,0
Dosidicus gigas,CAPEXI_069,7/13/17,2,0.88,0.71,0.17
Dosidicus gigas,CAPEXI_070,7/13/17,2,0.69,0.65,0.04
Dosidicus gigas,CAPEXI_071,7/13/17,1,0.35,0.33,0.02
Dosidicus gigas,CAPEXI_072,7/13/17,1,0.37,0.36,0.01
Dosidicus gigas,CAPEXI_073,7/13/17,4,1.32,0.54,0.78
Dosidicus gigas,CAPEXI_074,7/13/17,1,0.8,0.66,0.14
Dosidicus gigas,CAPEXI_075,7/13/17,2,1.05,0.8,0.25
Dosidicus gigas,CAPEXI_076,7/13/17,1,0.6,0.39,0.21
Dosidicus gigas,CAPEXI_077,7/13/17,3,0.8,0.6,0.2
Dosidicus gigas,CAPEXI_078,7/13/17,1,0.64,0.51,0.13
Dosidicus gigas,CAPEXI_079,7/13/17,1,0.4,0.39,0.01
Dosidicus gigas,CAPEXI_080,7/13/17,2,0.87,0.58,0.29
Dosidicus gigas,CAPEXI_081,7/13/17,3,0.78,0.38,0.4
Dosidicus gigas,CAPEXI_082,7/11/17,3,1.94,0.85,1.09
Dosidicus gigas,CAPEXI_083,7/11/17,2,0.73,0.36,0.37
Dosidicus gigas,CAPEXI_084,7/11/17,3,1.3,0.92,0.38
Dosidicus gigas,CAPEXI_085,7/11/17,4,1.2,0.47,0.73
Dosidicus gigas,CAPEXI_086,7/11/17,1,0.52,0.32,0.2
Dosidicus gigas,CAPEXI_087,7/11/17,2,0.74,,?
Dosidicus gigas,CAPEXI_088,7/11/17,1,0.49,0.44,0.05
Dosidicus gigas,CAPEXI_089,7/11/17,2,0.34,0.19,0.15
Dosidicus gigas,CAPEXI_090,7/11/17,2,0.49,0.27,0.22
Dosidicus gigas,CAPEXI_091,7/11/17,0,0.78,0.75,0.03
