"","cruise_int","Date_M","Lat_M","Lon_M","date","year","X","mean.sst","stdev.sst","n","satellite.date","requested.lon.min","requested.lon.max","requested.lat.min","requested.lat.max","requested.date","median.sst","mad.sst","mean chlorophyll","stdev chlorophyll","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median chlorophyll","mad chlorophyll"
"35",1.1224,20051123,27.30838166,-112.06435111,2005-11-23,"2005",35,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.16435111,-111.96435111,27.20838166,27.40838166,13110,24.2250003814697,0,5.67340468792688,9.15269898497177,42,"2005-11-23 12:00:00",-112.16435111,-111.96435111,27.20838166,27.40838166,13110,2.73100006580353,1.6086210565567
"36",1.1225,20051123,27.31446086,-112.07198799,2005-11-23,"2005",36,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.17198799,-111.97198799,27.21446086,27.41446086,13110,24.2250003814697,0,4.80823631232435,8.14116122630518,55,"2005-11-23 12:00:00",-112.17198799,-111.97198799,27.21446086,27.41446086,13110,2.65799999237061,1.50039114768505
"37",1.1226,20051123,27.320408,-112.07953485,2005-11-23,"2005",37,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.17953485,-111.97953485,27.220408,27.420408,13110,24.2250003814697,0,4.11978173418479,7.75154724306786,55,"2005-11-23 12:00:00",-112.17953485,-111.97953485,27.220408,27.420408,13110,2.32999992370605,1.31358347840309
"38",1.1227,20051123,27.32628908,-112.08701471,2005-11-23,"2005",38,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.18701471,-111.98701471,27.22628908,27.42628908,13110,24.2250003814697,0,3.90690469126853,7.2626783196307,63,"2005-11-23 12:00:00",-112.18701471,-111.98701471,27.22628908,27.42628908,13110,2.32999992370605,1.31358347840309
"39",1.1228,20051123,27.33227146,-112.09461879,2005-11-23,"2005",39,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.19461879,-111.99461879,27.23227146,27.43227146,13110,24.2250003814697,0,3.94867686445896,7.16123249103095,65,"2005-11-23 12:00:00",-112.19461879,-111.99461879,27.23227146,27.43227146,13110,2.7590000629425,1.92144925217628
"40",1.1229,20051123,27.33809502,-112.10227617,2005-11-23,"2005",40,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.19461879,-111.99461879,27.23227146,27.43227146,13110,24.2250003814697,0,3.94867686445896,7.16123249103095,65,"2005-11-23 12:00:00",-112.19461879,-111.99461879,27.23227146,27.43227146,13110,2.7590000629425,1.92144925217628
"41",1.123,20051123,27.34387729,-112.11002288,2005-11-23,"2005",41,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.21002288,-112.01002288,27.24387729,27.44387729,13110,24.2250003814697,0,3.996169174176,7.15652335746143,65,"2005-11-23 12:00:00",-112.21002288,-112.01002288,27.24387729,27.44387729,13110,2.7590000629425,1.92144925217628
"42",1.1231,20051123,27.34970645,-112.11782834,2005-11-23,"2005",42,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.21002288,-112.01002288,27.24387729,27.44387729,13110,24.2250003814697,0,3.996169174176,7.15652335746143,65,"2005-11-23 12:00:00",-112.21002288,-112.01002288,27.24387729,27.44387729,13110,2.7590000629425,1.92144925217628
"43",1.1232,20051123,27.35545072,-112.12552642,2005-11-23,"2005",43,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.22552642,-112.02552642,27.25545072,27.45545072,13110,24.2250003814697,0,4.03111589430035,6.95264962679437,69,"2005-11-23 12:00:00",-112.22552642,-112.02552642,27.25545072,27.45545072,13110,2.7720000743866,1.90217543520927
"44",1.1233,20051123,27.36126576,-112.13331801,2005-11-23,"2005",44,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.23331801,-112.03331801,27.26126576,27.46126576,13110,24.2250003814697,0,4.15532852538994,6.91254715398036,70,"2005-11-23 12:00:00",-112.23331801,-112.03331801,27.26126576,27.46126576,13110,2.83399999141693,1.8102543582201
"45",1.1234,20051123,27.36702463,-112.1408776,2005-11-23,"2005",45,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.23331801,-112.03331801,27.26126576,27.46126576,13110,24.2250003814697,0,4.15532852538994,6.91254715398036,70,"2005-11-23 12:00:00",-112.23331801,-112.03331801,27.26126576,27.46126576,13110,2.83399999141693,1.8102543582201
"46",1.1235,20051123,27.37291081,-112.14851038,2005-11-23,"2005",46,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.24851038,-112.04851038,27.27291081,27.47291081,13110,24.2250003814697,0,4.29842024566471,6.96678457315482,69,"2005-11-23 12:00:00",-112.24851038,-112.04851038,27.27291081,27.47291081,13110,2.81200003623962,1.84287149176598
"47",1.1236,20051123,27.37881102,-112.15624331,2005-11-23,"2005",47,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.24851038,-112.04851038,27.27291081,27.47291081,13110,24.2250003814697,0,4.29842024566471,6.96678457315482,69,"2005-11-23 12:00:00",-112.24851038,-112.04851038,27.27291081,27.47291081,13110,2.81200003623962,1.84287149176598
"48",1.1237,20051123,27.38447913,-112.16379778,2005-11-23,"2005",48,24.2250003814697,0,6,"2005-11-23 12:00:00",-112.26379778,-112.06379778,27.28447913,27.48447913,13110,24.2250003814697,0,4.33323433389887,7.14350700968198,64,"2005-11-23 12:00:00",-112.26379778,-112.06379778,27.28447913,27.48447913,13110,2.81200003623962,1.84287149176598
"49",1.1238,20051123,27.39053166,-112.17153251,2005-11-23,"2005",49,24.2250003814697,0,4,"2005-11-23 12:00:00",-112.27153251,-112.07153251,27.29053166,27.49053166,13110,24.2250003814697,0,4.33323433389887,7.14350700968198,64,"2005-11-23 12:00:00",-112.27153251,-112.07153251,27.29053166,27.49053166,13110,2.81200003623962,1.84287149176598
"50",1.1239,20051123,27.3966327,-112.17907562,2005-11-23,"2005",50,24.2250003814697,0,4,"2005-11-23 12:00:00",-112.27907562,-112.07907562,27.2966327,27.4966327,13110,24.2250003814697,0,4.07654234463886,7.16589864681877,59,"2005-11-23 12:00:00",-112.27907562,-112.07907562,27.2966327,27.4966327,13110,2.81200003623962,1.84287149176598
"51",1.124,20051123,27.40275147,-112.18653547,2005-11-23,"2005",51,24.2250003814697,0,2,"2005-11-23 12:00:00",-112.28653547,-112.08653547,27.30275147,27.50275147,13110,24.2250003814697,0,4.07654234463886,7.16589864681877,59,"2005-11-23 12:00:00",-112.28653547,-112.08653547,27.30275147,27.50275147,13110,2.81200003623962,1.84287149176598
