"","cruise_int","Date_M","Lat_M","Lon_M","date","year","mean sst","stdev sst","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median sst","mad sst","mean chlorophyll","stdev chlorophyll","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median chlorophyll","mad chlorophyll"
"19",4.221,20100316,28.27072607,-112.22856708,2010-03-16,"2010",18.6215316611277,0.849282151098172,284,"2010-03-16 12:00:00",-112.32856708,-112.12856708,28.17072607,28.37072607,14684,18.9925003051758,0.463311086082458,1.51337716385567,0.67919416822082,289,"2010-03-16 12:00:00",-112.32856708,-112.12856708,28.17072607,28.37072607,14684,1.29933345317841,0.335561868810654
"20",4.2211,20100316,28.26885218,-112.238604,2010-03-16,"2010",18.6943221428025,0.817962306306143,284,"2010-03-16 12:00:00",-112.338604,-112.138604,28.16885218,28.36885218,14684,19.0200004577637,0.426246651649475,1.50817762506049,0.680982104348861,289,"2010-03-16 12:00:00",-112.338604,-112.138604,28.16885218,28.36885218,14684,1.29933345317841,0.323206703853607
"21",4.2212,20100316,28.26698765,-112.2484621,2010-03-16,"2010",18.8792421759629,0.693752348094143,287,"2010-03-16 12:00:00",-112.3484621,-112.1484621,28.16698765,28.36698765,14684,19.0675010681152,0.37065,1.42635755246073,0.529651261747273,289,"2010-03-16 12:00:00",-112.3484621,-112.1484621,28.16698765,28.36698765,14684,1.24666666984558,0.239687124896049
"22",4.2213,20100316,28.26538731,-112.25849477,2010-03-16,"2010",18.9378397539518,0.639020416173012,287,"2010-03-16 12:00:00",-112.35849477,-112.15849477,28.16538731,28.36538731,14684,19.0825004577637,0.352116368865967,1.4311995363978,0.546342034548159,289,"2010-03-16 12:00:00",-112.35849477,-112.15849477,28.16538731,28.36538731,14684,1.23733341693878,0.216459287524223
"23",4.2214,20100316,28.26370263,-112.26844959,2010-03-16,"2010",18.9378397539518,0.639020416173012,287,"2010-03-16 12:00:00",-112.35849477,-112.15849477,28.16538731,28.36538731,14684,19.0825004577637,0.352116368865967,1.4311995363978,0.546342034548159,289,"2010-03-16 12:00:00",-112.35849477,-112.15849477,28.16538731,28.36538731,14684,1.23733341693878,0.216459287524223
"24",4.2215,20100316,28.26203422,-112.27850242,2010-03-16,"2010",18.9779861238268,0.584202926287796,288,"2010-03-16 12:00:00",-112.37850242,-112.17850242,28.16203422,28.36203422,14684,19.0887498855591,0.352117782783508,1.44598615726385,0.582778373980929,289,"2010-03-16 12:00:00",-112.37850242,-112.17850242,28.16203422,28.36203422,14684,1.23399996757507,0.209540812253952
"25",4.2216,20100316,28.26047229,-112.28855245,2010-03-16,"2010",19.0087239940961,0.540330434391528,288,"2010-03-16 12:00:00",-112.38855245,-112.18855245,28.16047229,28.36047229,14684,19.102499961853,0.363236830329895,1.46532179884432,0.621215424119079,289,"2010-03-16 12:00:00",-112.38855245,-112.18855245,28.16047229,28.36047229,14684,1.22666668891907,0.19076133620739
"26",4.2217,20100316,28.25880545,-112.29853051,2010-03-16,"2010",19.0252344210943,0.504623342477133,288,"2010-03-16 12:00:00",-112.39853051,-112.19853051,28.15880545,28.35880545,14684,19.1087503433228,0.383622693443298,1.49235870722668,0.676535433734311,289,"2010-03-16 12:00:00",-112.39853051,-112.19853051,28.15880545,28.35880545,14684,1.22666668891907,0.175440832686424
"27",4.2218,20100316,28.25693554,-112.30856421,2010-03-16,"2010",19.0405555963516,0.470538393153554,288,"2010-03-16 12:00:00",-112.40856421,-112.20856421,28.15693554,28.35693554,14684,19.1100006103516,0.391035863113403,1.5190853507461,0.719503580377483,289,"2010-03-16 12:00:00",-112.40856421,-112.20856421,28.15693554,28.35693554,14684,1.23066663742065,0.166545347213745
"28",4.2219,20100316,28.25516347,-112.31849762,2010-03-16,"2010",19.1180190578051,0.40092302331608,289,"2010-03-16 12:00:00",-112.41849762,-112.21849762,28.15516347,28.35516347,14684,19.1849994659424,0.35582366065979,1.40253863450153,0.490545467391946,289,"2010-03-16 12:00:00",-112.41849762,-112.21849762,28.15516347,28.35516347,14684,1.21600008010864,0.145788860964775
"29",4.222,20100316,28.25333432,-112.32838236,2010-03-16,"2010",19.1160380815552,0.400554387542181,289,"2010-03-16 12:00:00",-112.42838236,-112.22838236,28.15333432,28.35333432,14684,19.1800003051758,0.363235416412354,1.42431718090414,0.530895393679417,289,"2010-03-16 12:00:00",-112.42838236,-112.22838236,28.15333432,28.35333432,14684,1.21666669845581,0.143318040060997
"30",4.2221,20100316,28.25148544,-112.33842548,2010-03-16,"2010",19.1130190720608,0.396856589097778,289,"2010-03-16 12:00:00",-112.43842548,-112.23842548,28.15148544,28.35148544,14684,19.1749992370605,0.37065,1.44434371002818,0.558137374033214,289,"2010-03-16 12:00:00",-112.43842548,-112.23842548,28.15148544,28.35148544,14684,1.22333335876465,0.147271706986427
"31",4.2222,20100316,28.24970866,-112.34836484,2010-03-16,"2010",19.0959429559411,0.420615596042131,289,"2010-03-16 12:00:00",-112.44836484,-112.24836484,28.14970866,28.34970866,14684,19.1574993133545,0.37435446395874,1.46700576308689,0.578419017474872,289,"2010-03-16 12:00:00",-112.44836484,-112.24836484,28.14970866,28.34970866,14684,1.22633326053619,0.146283201885223
"32",4.2223,20100316,28.24800724,-112.35845842,2010-03-16,"2010",19.0686159760894,0.464296705626381,289,"2010-03-16 12:00:00",-112.45845842,-112.25845842,28.14800724,28.34800724,14684,19.1549987792969,0.40030267868042,1.49085005220657,0.596373357756813,289,"2010-03-16 12:00:00",-112.45845842,-112.25845842,28.14800724,28.34800724,14684,1.23800003528595,0.17000484995842
"33",4.2224,20100316,28.24652982,-112.36837317,2010-03-16,"2010",19.0686159760894,0.464296705626381,289,"2010-03-16 12:00:00",-112.45845842,-112.25845842,28.14800724,28.34800724,14684,19.1549987792969,0.40030267868042,1.49085005220657,0.596373357756813,289,"2010-03-16 12:00:00",-112.45845842,-112.25845842,28.14800724,28.34800724,14684,1.23800003528595,0.17000484995842
"34",4.2225,20100316,28.24521847,-112.37855095,2010-03-16,"2010",19.0282440317543,0.513972046090029,289,"2010-03-16 12:00:00",-112.47855095,-112.27855095,28.14521847,28.34521847,14684,19.125,0.422540773773193,1.51921452844844,0.615228838287483,289,"2010-03-16 12:00:00",-112.47855095,-112.27855095,28.14521847,28.34521847,14684,1.25033330917358,0.185325
"35",4.2226,20100316,28.24386254,-112.38855524,2010-03-16,"2010",18.9779412556685,0.56317085959248,289,"2010-03-16 12:00:00",-112.48855524,-112.28855524,28.14386254,28.34386254,14684,19.0974998474121,0.44848616065979,1.55115801219709,0.632113742509965,289,"2010-03-16 12:00:00",-112.48855524,-112.28855524,28.14386254,28.34386254,14684,1.2629998922348,0.199656644940376
"36",4.2227,20100316,28.24268308,-112.39862792,2010-03-16,"2010",19.0162457462826,0.562602010577143,289,"2010-03-16 12:00:00",-112.49862792,-112.29862792,28.14268308,28.34268308,14684,19.1599998474121,0.429952529525757,1.48432987392155,0.523682785019481,289,"2010-03-16 12:00:00",-112.49862792,-112.29862792,28.14268308,28.34268308,14684,1.25866663455963,0.175441009426117
"37",4.2228,20100316,28.2416338,-112.40878052,2010-03-16,"2010",18.9635294811948,0.609119874068855,289,"2010-03-16 12:00:00",-112.50878052,-112.30878052,28.1416338,28.3416338,14684,19.1049995422363,0.474431547546387,1.51056170876051,0.533856292051056,289,"2010-03-16 12:00:00",-112.50878052,-112.30878052,28.1416338,28.3416338,14684,1.26399993896484,0.182359661436081
"38",4.2229,20100316,28.24073482,-112.41879747,2010-03-16,"2010",18.9159775902243,0.646301753953647,289,"2010-03-16 12:00:00",-112.51879747,-112.31879747,28.14073482,28.34073482,14684,19.0650005340576,0.49666964263916,1.53436793670522,0.538061592068236,289,"2010-03-16 12:00:00",-112.51879747,-112.31879747,28.14073482,28.34073482,14684,1.29066669940948,0.209046648073196
"39",4.223,20100316,28.2396246,-112.42885437,2010-03-16,"2010",18.9159775902243,0.646301753953647,289,"2010-03-16 12:00:00",-112.51879747,-112.31879747,28.14073482,28.34073482,14684,19.0650005340576,0.49666964263916,1.53436793670522,0.538061592068236,289,"2010-03-16 12:00:00",-112.51879747,-112.31879747,28.14073482,28.34073482,14684,1.29066669940948,0.209046648073196
"40",4.2231,20100316,28.23730458,-112.43878194,2010-03-16,"2010",18.8648299576914,0.688213344154147,289,"2010-03-16 12:00:00",-112.53878194,-112.33878194,28.13730458,28.33730458,14684,19.0524997711182,0.51149598197937,1.55853172033303,0.544332915063644,289,"2010-03-16 12:00:00",-112.53878194,-112.33878194,28.13730458,28.33730458,14684,1.30966663360596,0.225849467396736
"41",4.2232,20100316,28.2350592,-112.44850287,2010-03-16,"2010",18.8170704759116,0.725139050630533,289,"2010-03-16 12:00:00",-112.54850287,-112.34850287,28.1350592,28.3350592,14684,19.0300006866455,0.54114866065979,1.5809123433585,0.554061961902699,289,"2010-03-16 12:00:00",-112.54850287,-112.34850287,28.1350592,28.3350592,14684,1.31533336639404,0.228320288300514
"42",4.2233,20100316,28.23282255,-112.45830411,2010-03-16,"2010",18.7714130507208,0.744479063607778,289,"2010-03-16 12:00:00",-112.55830411,-112.35830411,28.13282255,28.33282255,14684,19.0100002288818,0.54485312461853,1.60600230850563,0.568628831423464,289,"2010-03-16 12:00:00",-112.55830411,-112.35830411,28.13282255,28.33282255,14684,1.32133340835571,0.237215950512886
