"","cruise_int","Date_M","Lat_M","Lon_M"
"350","1.1485",20051123,27.93555569,-112.19973887
"351","1.1486",20051123,27.93021788,-112.20776597
"352","1.374",20051120,26.43654223,-110.07111653
"353","1.375",20051120,26.43139166,-110.07939032
"354","1.376",20051120,26.42623218,-110.08761558
"355","1.377",20051120,26.42106233,-110.09578179
"356","1.378",20051120,26.41587627,-110.1039499
"357","1.379",20051120,26.41067779,-110.11210122
"358","1.380",20051120,26.40553547,-110.12034942
"359","1.381",20051120,26.40040764,-110.12856695
"360","1.382",20051120,26.39524526,-110.1367671
"361","1.383",20051120,26.38988343,-110.14485456
"362","1.384",20051120,26.38446672,-110.15290301
"363","1.385",20051120,26.37903433,-110.16083103
"364","1.386",20051120,26.37355432,-110.16887239
"365","1.387",20051120,26.36815978,-110.17679535
"366","1.388",20051120,26.36281195,-110.18491172
"367","1.389",20051120,26.35787905,-110.19333511
"368","1.390",20051120,26.35296778,-110.20167392
"369","1.391",20051120,26.34814742,-110.21008219
"370","1.392",20051120,26.34332874,-110.21860566
"371","1.393",20051120,26.33857112,-110.22711571
"372","1.394",20051120,26.33386005,-110.23567515
"373","1.395",20051120,26.3292629,-110.24419474
"374","1.396",20051120,26.32465723,-110.2528413
"375","1.397",20051120,26.32012817,-110.26143739
"376","1.398",20051120,26.31561037,-110.27015856
"377","1.399",20051120,26.31103219,-110.27888724
"378","1.400",20051120,26.30645452,-110.28746718
"379","1.401",20051120,26.30181816,-110.29599826
"380","1.402",20051120,26.29682997,-110.30438274
"381","1.403",20051120,26.29171111,-110.31274424
"382","1.404",20051120,26.28664368,-110.32086409
"383","1.405",20051120,26.28160911,-110.32920123
"384","1.406",20051120,26.27650075,-110.33744504
"385","1.407",20051120,26.27144106,-110.34567826
"386","1.408",20051120,26.26640127,-110.35394336
"387","1.409",20051120,26.26137727,-110.36233608
"388","1.410",20051120,26.25636522,-110.37057632
"389","1.411",20051120,26.25130781,-110.37888714
"390","1.412",20051120,26.24608327,-110.3869845
"391","1.413",20051120,26.24166246,-110.39386584
"392","1.414",20051120,26.23522237,-110.40398439
"393","1.415",20051120,26.23043852,-110.41145833
"394","1.416",20051120,26.22526213,-110.41965898
"395","1.417",20051120,26.22009787,-110.42790394
"396","1.418",20051120,26.21507404,-110.43624973
"397","1.419",20051120,26.20998257,-110.44443289
"398","1.420",20051120,26.20491401,-110.45272773
"399","1.421",20051120,26.19995463,-110.46099236
"400","1.422",20051120,26.19498648,-110.46924745
"401","1.423",20051120,26.19002977,-110.47765788
"402","1.424",20051120,26.18503525,-110.4859797
"403","1.425",20051120,26.17997675,-110.49433539
"404","1.426",20051120,26.17484526,-110.50238176
"405","1.427",20051120,26.16958178,-110.51065893
"406","1.428",20051120,26.16434348,-110.51878918
"407","1.429",20051120,26.15917976,-110.52689604
"408","1.430",20051120,26.15376913,-110.53502014
"409","1.431",20051120,26.14817895,-110.54309251
"410","1.432",20051120,26.14232065,-110.55041592
"411","1.433",20051120,26.13631417,-110.5576981
"412","1.749",20051121,27.07444458,-110.45662156
"413","1.750",20051121,27.07894535,-110.46537596
"414","1.751",20051121,27.08343241,-110.4741037
"415","1.752",20051121,27.08793318,-110.4828581
"416","1.753",20051121,27.09242002,-110.49158539
"417","1.754",20051121,27.09691171,-110.50032213
"418","1.755",20051121,27.10141714,-110.50908559
"419","1.756",20051121,27.10590419,-110.51781329
"420","1.757",20051121,27.11040496,-110.52656769
"421","1.758",20051121,27.11489179,-110.53529498
"422","1.759",20051121,27.11939279,-110.54404982
"423","1.760",20051121,27.12387963,-110.55277712
"424","1.761",20051121,27.12836646,-110.56150441
"425","1.762",20051121,27.13290485,-110.57033197
"426","1.765",20051121,27.14495248,-110.59840358
"427","1.766",20051121,27.14124818,-110.60499509
"428","1.767",20051121,27.13706449,-110.61393155
"429","1.768",20051121,27.1333286,-110.62307403
"430","1.769",20051121,27.12948863,-110.63224767
"431","1.770",20051121,27.12573352,-110.64142264
"432","1.771",20051121,27.12199674,-110.65058235
"433","1.772",20051121,27.11825223,-110.65980994
"434","1.773",20051121,27.11444438,-110.66895049
"435","1.774",20051121,27.11077589,-110.67809792
"436","1.775",20051121,27.10694109,-110.68722593
"437","1.776",20051121,27.10312025,-110.69635164
"438","1.777",20051121,27.09938653,-110.70549313
"439","1.778",20051121,27.09566375,-110.71463357
"440","1.779",20051121,27.09104305,-110.7232312
"441","1.780",20051121,27.08673298,-110.73205761
"442","1.781",20051121,27.08257804,-110.74092584
"443","1.782",20051121,27.07833057,-110.74978329
"444","1.783",20051121,27.07412262,-110.75853815
"445","1.784",20051121,27.06984973,-110.76746758
"446","1.785",20051121,27.06559395,-110.77616804
"447","1.786",20051121,27.06127392,-110.78503568
"448","1.787",20051121,27.05698102,-110.79383182
"449","1.788",20051121,27.05269171,-110.80259617
"450","1.789",20051121,27.04847589,-110.81150704
"451","1.790",20051121,27.04426259,-110.82043339
"452","1.791",20051121,27.04014793,-110.82929761
"453","1.792",20051121,27.03609201,-110.83807554
"454","1.793",20051121,27.03190704,-110.84703316
"455","1.794",20051121,27.02778518,-110.85594556
"456","1.795",20051121,27.0236378,-110.86479583
"457","1.796",20051121,27.01948461,-110.87363794
"458","1.797",20051121,27.01529249,-110.88258608
"459","1.798",20051121,27.0110835,-110.89153508
"460","1.799",20051121,27.00687244,-110.90040061
"461","1.800",20051121,27.0024146,-110.90904843
"462","1.801",20051121,26.99774155,-110.91762967
"463","1.802",20051121,26.99307212,-110.92623267
"464","1.803",20051121,26.98823346,-110.93471044
"465","1.804",20051121,26.9834492,-110.94319013
"466","1.805",20051121,26.97865097,-110.95169687
"467","1.806",20051121,26.97373006,-110.96020718
"468","1.807",20051121,26.96888219,-110.96867419
"469","1.808",20051121,26.96401519,-110.97702209
"470","1.809",20051121,26.95910604,-110.98553034
"471","1.810",20051121,26.95420595,-110.99383189
"472","1.811",20051121,26.94916738,-111.00220776
"473","1.812",20051121,26.94384619,-111.01037646
"474","1.813",20051121,26.93849324,-111.01832445
"475","1.814",20051121,26.93311524,-111.02636148
"476","1.815",20051121,26.92790956,-111.03419215
"477","1.816",20051121,26.92237542,-111.04253287
"478","1.817",20051122,26.91707186,-111.05071985
"479","1.818",20051122,26.91170792,-111.05884081
"480","1.819",20051122,26.90632058,-111.06693911
"481","1.820",20051122,26.90091037,-111.07484106
"482","1.821",20051122,26.89553009,-111.0830113
"483","1.822",20051122,26.89019622,-111.09112806
"484","1.823",20051122,26.88479512,-111.09911927
"485","1.824",20051122,26.87944051,-111.10719654
"486","1.825",20051122,26.87407911,-111.115223
"487","1.826",20051122,26.86863166,-111.12328288
"488","1.827",20051122,26.86322835,-111.13130542
"489","1.828",20051122,26.8578803,-111.1393537
"490","1.829",20051122,26.85244136,-111.14740392
"491","1.830",20051122,26.84709315,-111.15544335
"492","1.831",20051122,26.84161936,-111.1635039
"493","1.832",20051122,26.83612874,-111.17145237
"494","1.833",20051122,26.83064176,-111.17935934
"495","1.834",20051122,26.82510257,-111.18730445
"496","1.835",20051122,26.81961984,-111.19527592
"497","1.836",20051122,26.81414588,-111.20348579
"498","1.837",20051122,26.81062524,-111.2125404
"499","1.838",20051122,26.80703779,-111.22183704
"500","1.839",20051122,26.8033612,-111.2309074
"501","1.840",20051122,26.79956727,-111.24006567
"502","1.841",20051122,26.79592464,-111.24928271
"503","1.842",20051122,26.79234497,-111.25837449
"504","1.843",20051122,26.78886551,-111.2677574
"505","1.844",20051122,26.78532996,-111.27694281
"506","1.845",20051122,26.78177659,-111.28611066
"507","1.846",20051122,26.77820437,-111.295431
"508","1.1760",20051124,28.4247632,-112.66977198
"509","1.1761",20051124,28.4196212,-112.67816433
"510","1.1762",20051124,28.41431089,-112.6864184
"511","1.1763",20051124,28.40898575,-112.69465365
"512","1.1764",20051124,28.40368782,-112.70283022
"513","1.1765",20051124,28.39838855,-112.71115457
"514","1.1766",20051124,28.39299661,-112.71940884
"515","1.1767",20051124,28.38742242,-112.727438
"516","1.1768",20051124,28.38186312,-112.73550252
"517","1.1769",20051124,28.37635877,-112.74353826
"518","1.1770",20051124,28.37022605,-112.75086994
"519","1.1771",20051124,28.363843,-112.75803744
"520","1.1772",20051124,28.35752087,-112.76536529
"521","1.1773",20051124,28.35121277,-112.77252201
"522","1.1774",20051124,28.3450048,-112.77989748
"523","1.1775",20051124,28.33899615,-112.78752659
"524","1.1776",20051124,28.33289031,-112.79508042
"525","1.1777",20051124,28.32712683,-112.80298936
"526","1.1778",20051124,28.32068267,-112.81235866
"527","1.1779",20051124,28.31666179,-112.81554923
"528","1.1780",20051124,28.32635336,-112.81074116
"529","1.1781",20051124,28.33328106,-112.80769957
"530","1.1782",20051124,28.34172989,-112.80406947
"531","1.1783",20051124,28.35010824,-112.80038477
"532","1.1784",20051124,28.35852051,-112.79665214
"533","1.1785",20051124,28.36696052,-112.79288166
"534","1.1786",20051124,28.37530746,-112.78895985
"535","1.1787",20051124,28.3837054,-112.78513678
"536","1.1788",20051124,28.39205399,-112.78135639
"537","1.1789",20051124,28.4004054,-112.77755062
"538","1.1790",20051124,28.40873547,-112.77388256
"539","1.1791",20051124,28.41765036,-112.77222078
"540","1.1792",20051124,28.42655579,-112.77054422
"541","1.1793",20051124,28.43541441,-112.76877613
"542","1.1794",20051124,28.44441487,-112.76803666
"543","1.1795",20051124,28.45313216,-112.76875826
"544","1.1796",20051124,28.46133822,-112.7728875
"545","1.1797",20051124,28.46856967,-112.77897643
"546","1.1798",20051124,28.4747737,-112.78630346
"547","1.1799",20051124,28.48056184,-112.79411562
"548","1.1800",20051124,28.48624634,-112.80209217
"549","1.1801",20051124,28.49170824,-112.81013145
"550","1.1802",20051124,28.49711236,-112.81834928
"551","1.1803",20051124,28.50234777,-112.8265876
"552","1.1804",20051124,28.50777256,-112.83471984
"553","1.1805",20051124,28.5132442,-112.84288373
"554","1.1806",20051124,28.51839404,-112.85123004
"555","1.1807",20051124,28.52354491,-112.85950897
"556","1.1808",20051124,28.5285565,-112.86792681
"557","1.1809",20051124,28.53362957,-112.87643342
"558","1.1810",20051124,28.53871731,-112.88490057
"559","1.1811",20051124,28.54377299,-112.89343694
"560","1.1812",20051124,28.5488765,-112.90172865
"561","1.1813",20051124,28.55404111,-112.91014268
"562","1.1814",20051124,28.5592761,-112.91857921
"563","1.1815",20051124,28.56449356,-112.92682445
"564","1.1816",20051124,28.56983534,-112.93496297
"565","1.1817",20051124,28.57531138,-112.94318925
"566","1.1818",20051124,28.5806719,-112.95135304
"567","1.1819",20051124,28.58603647,-112.9595951
