id,capture_lat,capture_lon,locality,capture_month,capture_year,sex,maturity state,mantle_length,weight,notes
CAPEXI_010,26.75187,110.2269,,,2016,F,5,19,0.1437083,
CAPEXI_011,26.75187,110.2269,,,2016,M,5,16.7,0.0887468,
CAPEXI_012,26.75187,110.2269,,,2016,F,5,19.6,0.1636943,
CAPEXI_013,26.75187,110.2269,,,2016,F,5,21.5,0.2036663,
CAPEXI_014,26.75187,110.2269,,,2016,F,5,21.3,0.2186558,
CAPEXI_015,26.75187,110.2269,,,2016,F,5,19.7,0.1636943,
CAPEXI_016,26.75187,110.2269,,,2016,F,5,19.5,0.1636943,
CAPEXI_017,26.75187,110.2269,,,2016,F,5,20.5,0.1936733,
CAPEXI_018,26.75187,110.2269,,,2016,F,5,19.4,0.1586978,
CAPEXI_019,26.75187,110.2269,,,2016,F,5,19,0.1537013,
CAPEXI_020,26.75187,110.2269,,,2016,F,4,20,0.1537013,remove
CAPEXI_020,,,,,2016,,,,,remove
CAPEXI_021,26.75187,110.2269,,,2016,F,5,19.7,0.1586978,remove
CAPEXI_021,,,,,2016,,,,,remove
CAPEXI_022,26.75187,110.2269,,,2016,F,5,18.9,0.1487048,remove
CAPEXI_022,,,,,2016,,,,,remove
CAPEXI_023,26.75187,110.2269,,,2016,F,4,19.7,0.1537013,remove
CAPEXI_023,,,,,2016,,,,,remove
CAPEXI_024,26.75187,110.2269,,,2016,F,5,19,0.1487048,
CAPEXI_025,26.75187,110.2269,,,2016,F,5,19.6,0.1736873,
CAPEXI_026,26.75187,110.2269,,,2016,M,5,16.8,0.0987398,
CAPEXI_027,26.75187,110.2269,,,2016,M,5,15.6,0.0737573,
CAPEXI_032,26.35032,111.271983,,,2016,F,2,16,0.0637643,
CAPEXI_033,26.35032,111.271983,,,2016,F,2,14.5,0.0337853,
CAPEXI_034,26.35032,111.271983,,,2016,F,2,14.5,0.0387818,
CAPEXI_035,26.35032,111.271983,,,2016,F,2,14.5,0.0537713,
CAPEXI_036,26.642933,111.3362167,,,2016,F,5,18.8,0.1487048,
CAPEXI_037,26.642933,111.3362167,,,2016,F,3,16,0.0737573,
CAPEXI_038,26.642933,111.3362167,,,2016,F,2,14.6,0.0437783,
CAPEXI_039,26.642933,111.3362167,,,2016,F,3,15.5,0.0537713,
CAPEXI_040,27.636833,112.3361,,,2016,F,5,18.9,0.1387118,
CAPEXI_041,27.636833,112.3361,,,2016,M,5,14.8,0.0587678,
CAPEXI_042,27.636833,112.3361,,,2016,F,5,19.6,0.1636943,
CAPEXI_043,27.636833,112.3361,,,2016,F,5,18.6,0.1237223,
CAPEXI_044,27.636833,112.3361,,,2016,F,5,22.5,0.2536313,
CAPEXI_045,27.636833,112.3361,,,2016,F,5,17.1,0.1137293,
CAPEXI_046,27.636833,112.3361,,,2016,F,4,16,0.0837503,
CAPEXI_047,27.636833,112.3361,,,2016,F,5,19.1,0.1487048,
CAPEXI_048,27.636833,112.3361,,,2016,F,5,17.9,0.1337153,
CAPEXI_049,27.938033,112.579667,,,2016,F,1,11.1,0.0187958,
CAPEXI_050,28.7845333,112.7831833,,,2016,F,2,15.3,0.0637643,
CAPEXI_051,28.7845333,112.7831833,,,2016,F,2,13.5,0.0537713,
CAPEXI_052,28.895333,112.876433,,,2016,M,2,11.9,0.0287888,
CAPEXI_053,28.585333,112.6575,,,2016,F,4,17.1,0.0987398,
CAPEXI_054,28.585333,112.6575,,,2016,F,4,15.8,0.0737573,
CAPEXI_055,28.585333,112.6575,,,2016,F,5,19.4,0.1337153,
CAPEXI_056,28.585333,112.6575,,,2016,F,5,16.8,0.0937433,
CAPEXI_057,28.585333,112.6575,,,2016,F,5,17.1,0.1087328,
CAPEXI_058,28.585333,112.6575,,,2016,F,4,16,0.0837503,
CAPEXI_059,28.585333,112.6575,,,2016,F,5,18.3,0.1237223,
CAPEXI_060,28.585333,112.6575,,,2016,F,5,16.2,0.0937433,
CAPEXI_061,28.585333,112.6575,,,2016,F,3,16.3,0.0887468,
CAPEXI_062,28.585333,112.6575,,,2016,F,5,18.8,0.1287188,
CAPEXI_063,28.585333,112.6575,,,2016,F,5,16,0.0937433,
CAPEXI_064,28.585333,112.6575,,,2016,F,5,17,0.0887468,
CAPEXI_065,28.585333,112.6575,,,2016,F,4,15.7,0.0737573,
CAPEXI_066,28.585333,112.6575,,,2016,F,2,15,0.0887468,
CAPEXI_067,28.585333,112.6575,,,2016,M,5,16,0.0837503,
CAPEXI_068,28.585333,112.6575,,,2016,M,5,15.9,0.0887468,
CAPEXI_069,28.585333,112.6575,,,2016,F,4,15.5,0.0737573,
CAPEXI_070,28.585333,112.6575,,,2016,F,2,14.2,0.0587678,
